행정구,행정동,카테고리,리뷰수,평균평점,평균긍정점수,로그리뷰수,보정평점,보정긍정점수,인기도
경기 시흥시,정왕1동,문화,2,5.0,8.655,1.0986122886681098,4.03684646850022,7.451188299222187,4.098077870534166
경기 의왕시,정왕1동,음식,9,3.111111111111111,4.868888888888889,2.302585092994046,3.656923310000163,6.501250592016435,4.098066502476386
경기 평택시,포승읍,문화,3,3.6666666666666665,7.003333333333333,1.3862943611198906,3.892234731904971,7.272560284973511,4.096661738494684
경기 안성시,대덕면,음식,4,3.5,5.9350000000000005,1.6094379124341003,3.851678607727472,7.06608027202017,4.096274023254407
경기 용인시,중앙동,힐링,2,4.0,9.515,1.0986122886681098,3.9368464685002196,7.537188299222187,4.094209206500831
경기 양평군,양동면,힐링,6,3.1666666666666665,5.246666666666667,1.9459101490553132,3.7390387237501828,6.7997402493518235,4.093933971516714
인천 옹진군,영흥면,쇼핑,2,4.5,9.0,1.0986122886681098,3.9868464685002194,7.485688299222187,4.093381065784022
경기 시흥시,거북섬동,음식,2,4.5,9.0,1.0986122886681098,3.9868464685002194,7.485688299222187,4.093381065784022
경기 화성시,남양읍,힐링,2,4.5,9.0,1.0986122886681098,3.9868464685002194,7.485688299222187,4.093381065784022
서울 동작구,흑석동,힐링,2,4.5,9.0,1.0986122886681098,3.9868464685002194,7.485688299222187,4.093381065784022
경기 안양시,평촌동,음식,3,3.6666666666666665,6.93,1.3862943611198906,3.892234731904971,7.262084094497321,4.093257010195723
경기 의정부시,의정부2동,문화,3,3.6666666666666665,6.926666666666667,1.3862943611198906,3.892234731904971,7.2616079040211305,4.093102249818497
서울 구로구,개봉2동,힐링,3,3.6666666666666665,6.926666666666667,1.3862943611198906,3.892234731904971,7.2616079040211305,4.093102249818497
경기 오산시,대원1동,액티비티,2,4.5,8.96,1.0986122886681098,3.9868464685002194,7.481688299222188,4.092081078615328
서울 도봉구,쌍문1동,음식,2,4.5,8.955,1.0986122886681098,3.9868464685002194,7.481188299222187,4.09191858021924
경기 부천시,원미2동,문화,2,4.5,8.95,1.0986122886681098,3.9868464685002194,7.480688299222187,4.091756081823154
경기 여주시,강천면,문화,2,4.5,8.945,1.0986122886681098,3.9868464685002194,7.480188299222187,4.091593583427067
경기 광주시,여흥동,음식,2,4.5,8.940000000000001,1.0986122886681098,3.9868464685002194,7.479688299222187,4.09143108503098
경기 화성시,동탄8동,힐링,2,4.5,8.93,1.0986122886681098,3.9868464685002194,7.4786882992221875,4.091106088238806
경기 성남시,판교동,힐링,2,4.5,8.905000000000001,1.0986122886681098,3.9868464685002194,7.476188299222187,4.090293596258372
경기 남양주시,양정동,액티비티,3,3.6666666666666665,6.853333333333333,1.3862943611198906,3.892234731904971,7.2511317135449405,4.089697521519534
인천 서구,가좌2동,음식,5,3.2,5.5,1.791759469228055,3.771170842174104,6.922337651497554,4.088997714394259
경기 김포시,풍무동,액티비티,3,3.6666666666666665,6.836666666666667,1.3862943611198906,3.892234731904971,7.248750761163987,4.0889237196334065
경기 남양주시,소흘읍,힐링,2,4.5,8.86,1.0986122886681098,3.9868464685002194,7.471688299222187,4.088831110693591
경기 수원시,광교1동,힐링,2,5.0,8.355,1.0986122886681098,4.03684646850022,7.421188299222187,4.088327966768956
경기 오산시,신장2동,힐링,18,2.6666666666666665,4.905555555555555,2.9444389791664403,3.2982480380556773,6.111493499567882,4.0862978786395505
경기 가평군,내촌면,힐링,2,4.0,9.254999999999999,1.0986122886681098,3.9368464685002196,7.511188299222186,4.085759289904315
경기 안성시,미양면,힐링,2,4.5,8.75,1.0986122886681098,3.9868464685002194,7.460688299222187,4.08525614597968
경기 남양주시,남종면,힐링,2,4.5,8.719999999999999,1.0986122886681098,3.9868464685002194,7.457688299222187,4.0842811556031595
경기 수원시,파장동,액티비티,3,3.6666666666666665,6.736666666666667,1.3862943611198906,3.892234731904971,7.234465046878274,4.084280908316641
경기 과천시,과천동,힐링,5,3.0,5.62,1.791759469228055,3.7276925813045385,6.948424608019293,4.083641809772585
서울 성북구,안암동,문화,6,2.8333333333333335,5.436666666666667,1.9459101490553132,3.6557053904168497,6.847240249351823,4.082855995678072
경기 이천시,설성면,액티비티,10,2.8,4.947,2.3978952727983707,3.526318906071585,6.470848785158705,4.080638310714976
경기 화성시,화산동,액티비티,5,3.0,5.5760000000000005,1.791759469228055,3.7276925813045385,6.9388593906279885,4.080533144803968
경기 용인시,상현2동,음식,33,2.787878787878788,4.595757575757576,3.5263605246161616,3.1909201837255763,5.556348352636151,4.079368347163525
경기 화성시,광교1동,음식,4,3.25,5.8925,1.6094379124341003,3.8062240622729266,7.058352999292897,4.079299780696579
경기 고양시,고봉동,액티비티,2,3.5,9.515,1.0986122886681098,3.8868464685002193,7.537188299222187,4.078300012420696
서울 중구,광희동,힐링,2,5.0,8.03,1.0986122886681098,4.03684646850022,7.388688299222187,4.0777655710233125
서울 성동구,서원동,음식,2,5.0,8.03,1.0986122886681098,4.03684646850022,7.388688299222187,4.0777655710233125
경기 부천시,신평동,음식,8,2.875,4.99625,2.1972245773362196,3.605266514230938,6.6032217686324515,4.077175779774153
서울 강남구,문래동,음식,2,5.0,8.0,1.0986122886681098,4.03684646850022,7.385688299222187,4.076790580646791
서울 구로구,오류2동,액티비티,3,3.3333333333333335,6.896666666666666,1.3862943611198906,3.844615684285923,7.257322189735416,4.076557793013815
경기 고양시,원신동,힐링,2,5.0,7.99,1.0986122886681098,4.03684646850022,7.384688299222186,4.076465583854618
경기 포천시,남양읍,음식,20,2.45,5.0295000000000005,3.044522437723423,3.1509718255264314,6.113256999590625,4.075721805768078
서울 금천구,시흥1동,문화,2,5.0,7.965,1.0986122886681098,4.03684646850022,7.382188299222188,4.075653091874184
경기 광주시,경안동,힐링,2,5.0,7.955,1.0986122886681098,4.03684646850022,7.3811882992221864,4.07532809508201
경기 안성시,삼죽면,힐링,4,3.0,6.055,1.6094379124341003,3.7607695168183812,7.087898453838352,4.074439054937951
서울 도봉구,방학3동,힐링,2,5.0,7.9,1.0986122886681098,4.03684646850022,7.375688299222188,4.073540612725055
경기 연천군,연천읍,문화,2,5.0,7.890000000000001,1.0986122886681098,4.03684646850022,7.374688299222187,4.073215615932881
경기 광주시,양서면,음식,4,3.25,5.785,1.6094379124341003,3.8062240622729266,7.038807544747442,4.07294757066773
